gene_a	gene_b
ZC3H18	AKAP8
ZC3H18	RBBP6
ZC3H18	SYF2
ZC3H18	ELAVL2
ZC3H18	DHX15
ZC3H18	NCSTN
ZC3H18	VANGL1
ZC3H18	LUC7L
ZC3H18	DHX35
ZC3H18	SRSF1
ZC3H18	DDX51
ZC3H18	U2AF1
ZC3H18	U2AF2
ZC3H18	TSPYL1
ZC3H18	TSPYL2
ZC3H18	PSIP1
ZC3H18	RALY
ZC3H18	SRRT
ZC3H18	ZC3H4
ZC3H18	RBM27
ZC3H18	RBM25
ZC3H18	CLK3
ZC3H18	CLK4
ZC3H18	RSBN1
ZC3H18	NCOA3
ZC3H18	POLDIP3
ZC3H18	HNRNPU
ZC3H18	RBM15
ZC3H18	AP3D1
ZC3H18	EPB41L3
ZC3H18	BCOR
ZC3H18	CRNKL1
ZC3H18	HNRNPC
ZC3H18	SMU1
ZC3H18	KEAP1
ZC3H18	PPIG
ZC3H18	CUL3
ZC3H18	RBM7
ZC3H18	NUMA1
ZC3H18	SF3B3
ZC3H18	SF3B2
ZC3H18	NXF1
ZC3H18	BRPF1
ZC3H18	ZCCHC8
ZC3H18	CDC5L
ZC3H18	MCM7
ZC3H18	USP10
ZC3H18	DDX23
ZC3H18	PRPF38B
ZC3H18	RBMX
ZC3H18	NKTR
ZC3H18	PNN
GRIN1	DLG3
GRIN1	DLG2
GRIN1	PIK3CA
GRIN1	PIK3CD
GRIN1	KCNJ5
GRIN1	WDTC1
GRIN1	RASGRP2
GRIN1	GRM8
GRIN1	NF1
GRIN1	GRM5
GRIN1	GRM3
GRIN1	PDLIM5
GRIN1	RPS6KA3
GRIN1	PDE6G
GRIN1	RET
GRIN1	SPTA1
GRIN1	RSPH14
GRIN1	RIMS1
GRIN1	CALB2
GRIN1	PRKAR1A
GRIN1	CTNNB1
GRIN1	EVPL
GRIN1	ATP1A1
GRIN1	CDC42
GRIN1	PLCG1
GRIN1	MYOD1
GRIN1	DYNC1I1
GRIN1	SLIT3
GRIN1	FOLH1
GRIN1	NOS1
GRIN1	CA10
GRIN1	SOX21
GRIN1	EXOC7
GRIN1	PPP3CA
GRIN1	SLC1A3
GRIN1	SPTB
GRIN1	PTK2B
GRIN1	SLC12A5
GRIN1	CDH2
GRIN1	LRRC4C
GRIN1	NRXN3
GRIN1	GNG3
GRIN1	ACTB
GRIN1	TRPC7
GRIN1	FUS
GRIN1	SPTAN1
GRIN1	TBR1
GRIN1	AKAP9
GRIN1	MYCN
GRIN1	RAB11A
GRIN1	STXBP1
GRIN1	PRKAR2B
GRIN1	GABRA1
GRIN1	ZFPM1
GRIN1	MYH7
GRIN1	MYH9
GRIN1	GRIA2
GRIN1	MAPK1
GRIN1	ARNT
GRIN1	IRS4
GRIN1	GRIK2
GRIN1	GRIK3
GRIN1	IRS1
GRIN1	SLC4A10
GRIN1	FYN
GRIN1	YWHAE
GRIN1	RAC1
GRIN1	DAB2IP
GRIN1	PRKCB
GRIN1	PRKCG
GRIN1	SLC1A6
GRIN1	TBKBP1
GRIN1	SLC6A3
GRIN1	SLC6A2
GRIN1	CACNA1H
GRIN1	CACNA1A
GRIN1	CACNA1B
GRIN1	CACNA1C
GRIN1	CACNA1D
GRIN1	CACNA1E
GRIN1	MAGI2
GRIN1	TRPV5
GRIN1	JAK3
GRIN1	ERBB4
GRIN1	TJP1
GRIN1	ADCY1
GRIN1	PTPN11
GRIN1	ADCY8
GRIN1	AKT2
GRIN1	GRM1
GRIN1	GRIA3
GRIN1	HRAS
GRIN1	GRIK5
GRIN1	KCNJ9
GRIN1	EGR1
GRIN1	PRKACA
GRIN1	TRPM1
GRIN1	TRPM2
GRIN1	TRPM3
GRIN1	EPHB1
GRIN1	PLCB4
GRIN1	EPHB4
GRIN1	KCNQ3
GRIN1	PTPN1
GRIN1	RBFOX1
GRIN1	ESR1
GRIN1	NANOS1
GRIN1	MOG
GRIN1	MYO1G
GRIN1	MYO1B
GRIN1	RAF1
GRIN1	RHBG
GRIN1	SLC6A11
GRIN1	SRC
GRIN1	PDYN
